ID,Name,First name,Altname,Altname,Altname,Gender,Nationality/Ethnicity,Religion,Relations,Qualifier,Qualifier,Time,Place,Texts related (lookup),MSS related (lookup)
PRS1201AbdiMu,ʿAbdi Muḥumud Amiin,,,,,m,,Islam,, lit. ,,,,,
PRS1202AbdiRob,Abdi Robleh,,,,,m,,Islam,, mus. ,,,,,
PRS1203AbdiSou,Abdi Souene,,,,,m,,Islam,, pl.n. ,,,,,
PRS1204Abdille,ʿAbdille,,Cabdille,,,m,,Islam,, šayḫ ,,,,,
PRS1205Abdiisaa,Abdiisaa Aagaa,,,,,m,,Islam,, mil. ,,,,,
PRS1206Abdius,Abdius,,,,,m,,Islam,, bishop ,,,,,
PRS1207Abdourah,Abdourahman A. Waberi,,,,,m,,Islam,, wr. ,,,,,
PRS1208Abdsams,ʿAbdšams b. ʿAbdmanāf,,,,,m,Arabia,Islam, anc. Muḥammad ,,,,,,
PRS1209AbdulFa,Abdul Fadal,,,,,m,,Islam,, inf.,,,,,
PRS1210Abdulbar,Abdulbari Mähammäd,,,,,m,,Islam,, wr. ,,,,,
PRS1211Abdulka,ʿAbdulkāder Maḥámmad “Rēdó”,,,,,m,,Islam,, sch. ,,,,,
PRS1212Abdulla,ʿAbdullah Ǧammāʿ,,,,,m,,Islam,, ruler ,,,,,
PRS1213Abdullah,Abdullahbhoy Kera,,,,,m,,Islam,, mulla ,,,,,
PRS1214Abdulla,ʿAbdullāhi ʿAlī Ṣādiq,,,,,m,,Islam,, ḥāǧǧī ,,,,,
PRS1215Abdulla,ʿAbdullahī Idlibī,,,,,m,,Islam,, dipl ,,,,,
PRS1216Abdulla,ʿAbdullāhi b. Muḥammad I,,,,,m,,,, amīr ,,,,,
PRS1217Abdulla,ʿAbdullahi Yusuf,,,,,m,,,, pol. ,,,,,
PRS1218Abdulla,ʿAbdullāhi Yūsuf Aḥmad,,Cabdullahi Yuusuf Axmad,,,m,,,, mil. ,,,,,
PRS1219Abdulle,Abdulle Isaaq,,,,,m,,,, wr. ,,,,,
PRS1220Abdulman,Abdulmanna,,,,,m,,,, naggaadee ,,,,,
PRS1221Abdulqa,ʿAbdulqaadir Bootan (Cabdulqaadir F. Bootan),,,,,m,,,, wr. ,,,,,
PRS1222Abdulqad,Abdulqader Saleh,,,,,m,,,, sch. ,,,,,
PRS1223Abdulqad,Abdulqadir Ahmad Said,,ʿAbdulqaadir Axmeed Saʿiid,,,m,,,, filmmaker ,,,,,
PRS1224Abdulwa,ʿAbdulwadūd Wābar,,,,,m,,,, ḥāǧǧī ,,,,,
PRS1225Abdun,ʿAbdūn,,,,,m,,,, pretender bishop ,,,,,
PRS1226Abdurra,ʿAbdurraḥmān,,,,,m,,,, šayḫ ,,,,,
PRS1227Abdurra,ʿAbdurraḥmān Waaberi,,,,,m,,,, wr. ,,,,,
PRS1228Abdussam,Abdussämäd H. Ahmäd,,,,,m,,,, sch. ,,,,,
PRS1229Abdussa,ʿAbduṣṣāmad ʿAbdarraḥmān,,,,,m,,,, šayḫ ,,,,,
PRS1230Abel,Abel,,,,,m,,,, bibl. ,,,,,
PRS1231Abel,Abel,,,,,m,,, fath. Isayǝyyas ,,,,,,
PRS1232Abeles,Abélés, Marc,,,,m,,,, sch. ,,,,,
PRS1233Abercrom,Abercrombie, Lascelles,,,,m,,,, wr. ,,,,,
PRS1234Abercrom,Abercrombie, Sir Leslie Patrick,,,,m,,,, archt. ,Sir,,,,
PRS1235AbeseGa,Abǝše Garbaa,,,,,m,,,, mooti ,,,,,
PRS1236Abessalo,Abessalom,,,,,m,,,, baldäras ,,,,,
PRS1237Abet,Abet,,,,,m,,,, qalä ṗaṗṗas ,,,,,
PRS1238Abete,Abete,,Abetye,,,m,,,, blatten geta ,,,,,
PRS1239AbetoYe,Abeto Yero,,,,,m,,,, kati ,,,,,
PRS1240Abeyahoy,Abǝyähoy Abǝy,,,,,m,,,, mäm. ,,,,,
PRS1241Abgar,Abgar,,Abgar V Ukkāmā,,,m,,,, king ,,,Edessa,,
PRS1242Abgad,Abǧad,,,,,m,,,, gärad ,,,,,
PRS1243Abgar,Abǧar,,,,,m,,,, king ,,,Aksum,,
PRS1244AbiDawu,Abī Dāwūd,,,,,m,,,, wr. ,,,,,
PRS1245Abib,Abib,,,,,m,,,, priest ,,,,,
PRS1246AbibBu,Abib (Bula),,,,,m,,,, St. ,,,,,
PRS1247abida,ʿĀbida,,,,,m,,,, āy ,,,,,
PRS1248Abil,Abil,,,,,m,,,, anc. ,,,,,
PRS1249Abimelec,Abimelech,,,,,m,,,, bibl. ,,,,,
PRS1250Abimoso,Abimos of Qänṭorare,,,,,m,,,, abba ,,,,,
PRS1251Abiyae,ʿAbiyä Ǝgziʾ,,,,,m,,,, St. ,,,,,
PRS1252Abidasa,Abida šayḫ Saʿīd,,,,,f,,, moth. Budallāh ,,,,,,
PRS1253AbiyyA,ʿAbiyy Abbäbä,,,,,m,,,, general ,,,,,
PRS1254Ablo,Ablo,,Abbǝlo, Öbelo,,m,,,, abba ,,,,,
PRS1255Abnaz,Abnaz,,,,,m,,,, šayḫ ,,,,,
PRS1256Abola,ʿAbola,,,,,m,,,, spirit-king,,,,,
PRS1257Aboli,Aboli,,,,,m,,,, St. ,,,,,
PRS1258Abonb,Aboñ b. Adaš,,,,,m,,,, garād ,,,,,
